sentence	voicevox_says	kuromoji_expects
一度植えつけられた不信感を払拭するのは、並大抵のことではない。	いちどおえつけられたふしんかんおふっしきするのわなみたいてえのことでわない	いちどおえつけられたふしんかんおふっしょくするのわなみたいてえのことでわない
一日中パソコンに向かっていたので、肩がひどく凝ってしまった。	いちにちじゅうぱそこんにむかってえたのでかたがひどくこってしまった	いちにちちゅうぱそこんにむかってえたのでかたがひどくこってしまった
一日中歩いてくたくたになった。	いちにちじゅうあるいてくたくたになった	いちにちちゅうあるいてくたくたになった
一晩で三十センチも雪が積もり、朝の交通は大きく乱れた。	ひとばんでさんじゅっせんちもゆきがつもりあさのこおつうわおきくみだれた	いちばんでさんじゅうせんちもゆきがつもりあさのこおつうわおきくみだれた
一部の意見だけでなく、チーム全体の考えを聞いてから決めたいです。	いちぶのいけんだけでなくちいむぜんたいのかんがえおきいてからきめたいです	いちぶのいけんだけでなくちむぜんたいのかんがえおきいてからきめたいです
一分の無駄もないこの茶室の設計は、簡素の美の極致と言ってよい。	いちぶのむだもないこのちゃしつのせっけえわかんそのびのきょくちといってよい	いちふんのむだもないこのちゃしつのせっけえわかんそのびのきょくちといってよい
一歩間違えれば大事故になる危うい場面だった。	いっぽまちがえればだいじこになるあやういばめんだった	いちほまちがえればだいじこになるあやういばめんだった
一方的な決定は、現場で汗を流してきた者たちの誇りを踏み躙るものだった。	いっぽおてきなけってえわげんばであせおながしてきたものたちのほこりおふみにじるものだった	いっぽおてきなけってえわげんばであせおながしてきたしゃたちのほこりおふみにじるものだった
一本の川によって、その民族は南北に分断されたまま今日に至っている。	いっぽんのかわによってそのみんぞくわなんぼくにぶんだんされたままこんにちにいたってえる	いちほんのかわによってそのみんぞくわなんぼくにぶんだんされたままきょおにいたってえる
一本の電話を境に、私を取り巻く状況は一変してしまった。	いっぽんのでんわおさかいにわたしおとりまくじょおきょおわいっぺんしてしまった	いちほんのでんわおさかいにわたしおとりまくじょおきょおわいっぺんしてしまった
一連の調査結果は、両者の間に何らかの関連があることを強く示唆している。	いちれんのちょおさけっかわりょおしゃのあいだになんらかのかんれんがあることおつよくしさしてえる	いちれんのちょおさけっかわりょおしゃのまになんらかのかんれんがあることおつよくしさしてえる
引っ越してきたばかりなので、近所の方にきちんと挨拶しておきたい。	ひっこしてきたばかりなのできんじょのかたにきちんとあいさつしておきたい	ひっこしてきたばかりなのできんじょのほおにきちんとあいさつしておきたい
引っ越しをしたら、十四日以内に区役所へ行かなければなりません。	ひっこしおしたらじゅうよっかいないにくやくしょえかなければなりません	ひっこしおしたらじゅうよんにちいないにくやくしょえかなければなりません
引っ越しを機に、駅からもっと近いアパートを探しているところです。	ひっこしおきにえきからもっとちかいあぱあとおさがしてえるところです	ひっこしおきにえきからもっとちかいあぱとおさがしてえるところです
飲まない→飲まなかった	のまないのまなかった	のまない→のまなかった
飲む：飲みます/飲んで/飲める/飲まれる/飲ませる	のむのみますのんでのめるのまれるのませる	のむ：のみます/のんで/のめる/のまれる/のませる
飲む→飲みます	のむのみます	のむ→のみます
雨が降りそうだから、さっさと帰ったほうがいいよ。	あめがふりそおだからさっさとかえったほおがいよ	あめがおりそおだからさっさとかえったほおがいよ
雨が降りそうだから、傘を持って行ったほうがいいですよ。	あめがふりそおだからかさおもってえったほおがいですよ	あめがおりそおだからかさおもってえったほおがいですよ
雨が降りました。しかし、出かけました。	あめがふりましたしかしでかけました	あめがおりましたしかしでかけました
雨が降ろうと降るまいと、いずれにせよ試合は予定どおり開催される。	あめがふろおとふるまいといずれにせよしあいわよてえどおりかいさいされる	あめがくだろおとふるまいといずれにせよしあいわよてえどおりかいさいされる
雨で外に出られず、一日中退屈でした。	あめでそとにでられずいちにちじゅうたいくつでした	あめでそとにでられずいちにちちゅうたいくつでした
雨なのでタクシーで帰ります。	あめなのでたくしいでかえります	あめなのでたくしでかえります
雨に濡れた服を、ストーブの前で乾かしています。	あめにぬれたふくおすとおぶのまえでかわかしてえます	あめにぬれたふくおすとぶのまえでかわかしてえます
雨の日にサッカーをしたので、服が泥だらけになってしまった。	あめのひにさっかあおしたのでふくがどろだらけになってしまった	あめのひにさっかおしたのでふくがどろだらけになってしまった
雨も降っているし、疲れているし、タクシーで帰りましょう。	あめもふってえるしつかれてえるしたくしいでかえりましょお	あめもふってえるしつかれてえるしたくしでかえりましょお
運動の後は、脈拍がしばらく速いままだった。	うんどおのあとわみゃくわくがしばらくわやいままだった	うんどおののちわみゃくわくがしばらくわやいままだった
雲の色が重くて、雨が降りそうだ。	くものいろがおもくてあめがふりそおだ	くものいろがおもくてあめがおりそおだ
映画は七時に始まります。	えがわしちじにわじまります	えがわななじにわじまります
映画を見終わった後、参加者一人ひとりに率直な感想を述べてもらった。	えがおみおわったあとさんかしゃひとりひとりにそっちょくなかんそおのべてもらった	えがおみおわったのちさんかしゃひとりひとりにそっちょくなかんそおのべてもらった
英語でメールを送ります。	えごでめえるおくります	えごでめるおくります
英語のメニューはありますか。	えごのめにゅうわありますか	えごのめにゅわありますか
駅から家まで、あるいて十分ぐらいです。	えきからいえまであるいてじゅうぶんぐらいです	えきからいえまであるいてじゅうふんぐらいです
駅から徒歩十分以内、という条件をつけると、家賃は一気に上がる。	えきからとほじゅっぷんいないというじょおけんおつけるとやちんわいっきにあがる	えきからとほじゅうふんいないというじょおけんおつけるとやちんわいっきにあがる
駅から歩いて十分程のところに新しいカフェができた。	えきからあるいてじゅっぷんほどのところにあたらしいかふぇができた	えきからあるいてじゅうぶんほどのところにあたらしいかふぇができた
駅のホームで、留学に行く友人をみんなで見送りました。	えきのほおむでりゅうがくにいくゆうじんおみんなでみおくりました	えきのほむでりゅうがくにいくゆうじんおみんなでみおくりました
駅の近くに大きなショッピングモールが建設される予定です。	えきのちかくにおきなしょっぴんぐもおるがけんせつされるよてえです	えきのちかくにおきなしょっぴんぐもるがけんせつされるよてえです
駅まで三十分かかります。	えきまでさんじゅっぷんかかります	えきまでさんじゅうふんかかります
駅まで十分ぐらいかかります。	えきまでじゅっぷんぐらいかかります	えきまでじゅうふんぐらいかかります
駅前に大型スーパーができて、この辺りの暮らしは格段に便利になった。	えきまえにおがたすうぱあができてこのあたりのくらしわかくだんにべんりになった	えきまえにおがたすぱができてこのあたりのくらしわかくだんにべんりになった
駅前に大勢の人が集まっています。	えきまえにおぜえのひとがあつまってえます	えきまえにたいせえのひとがあつまってえます
駅前の映画館は、工事のため、今月の20日まで休みです。	えきまえのえがかんわこおじのためこんげつのわつかまでやすみです	えきまえのえがかんわこおじのためこんげつのにちまでやすみです
駅前の広場でコンサートが開かれます。	えきまえのひろばでこんさあとがひらかれます	えきまえのひろばでこんさとがひらかれます
駅前の店で天ぷら丼を注文しました。	えきまえのみせでてんぷらどんおちゅうもんしました	えきまえのみせでてんぷらどんぶりおちゅうもんしました
円安の影響で輸入原料が高騰し、多くのメーカーが値上げを迫られた。	えんやすのえきょおでゆにゅうげんりょおがこおとおしおくのめえかあがねあげおせまられた	えんやすのえきょおでゆにゅうげんりょおがこおとおしおくのめかがねあげおせまられた
遠くで雷がごろごろと鳴り始めたので、急いで洗濯物を取り込んだ。	とおくでかみなりがごろごろとなりわじめたのでえそいでせんたくものおとりこんだ	とおくでかみなりがごろごろとなりわじめたのでえそいでせんたくぶつおとりこんだ
応募が定員に達したため、受付を早めに締め切った。	おぼがてえんにたっしたためうけつけおわやめにしめきった	おぼがてえいんにたっしたためうけつけおわやめにしめきった
応募できるのは二十歳以下の方に限られています。	おぼできるのわにじゅっさいかのほおにかぎられてえます	おぼできるのわにじゅうさいかのほおにかぎられてえます
恩義ある主君に叛くことなど、彼の信念からしてできるはずもなかった。	おんぎあるしゅくんにそむくことなどかれのしんねんからしてできるわずもなかった	おんぎあるしゅくんに叛くことなどかれのしんねんからしてできるわずもなかった
温泉は何時まで入れますか？	おんせんわなんじまでえれますか	おんせんわいつまでえれますか
化石燃料の枯渇が現実味を帯びるにつれ、再生可能エネルギーへの転換が急務となっている。	かせきねんりょおのこかつがげんじつみおびるにつれさいせえかのおえねるぎいえのてんかんがきゅうむとなってえる	かせきねんりょおのこかつがげんじつみおびるにつれさいせえかのおえねるぎえのてんかんがきゅうむとなってえる
仮にも一国を代表する立場にある者が、そんな軽率な発言をすべきではない。	かりにもいっこくおだいひょおするたちばにあるものがそんなけえそつなわつげんおすべきでわない	かりにもいちこくおだいひょおするたちばにあるものがそんなけえそつなわつげんおすべきでわない
何気ない一冊との出会いが契機となって、彼女は研究者の道を歩み始めた。	なにげないっさつとのであいがけえきとなってかのじょわけんきゅうしゃのみちおあゆみわじめた	なにげないちさつとのであいがけえきとなってかのじょわけんきゅうしゃのみちおあゆみわじめた
何度も交渉を試みたが、双方の主張の隔たりは埋まらなかった。	なんどもこおしょおこころみたがそおほおのしゅちょおのえだたりわうずまらなかった	なんどもこおしょおこころみたがそおほおのしゅちょおのえだたりわうまらなかった
何度計算しても、理論値との間にわずかな誤差が生じてしまう。	なんどけえさんしてもりろんちとのあいだにわずかなごさがしょおじてしまう	なんどけえさんしてもりろんちとのまにわずかなごさがしょおじてしまう
何百年も前に築かれた石垣が、地震にも崩れず今なお堅牢に残っている。	なんびゃくねんもまえにきずかれたいしがきがじしんにもくずれずいまなおけんろおにのこってえる	なんひゃくねんもまえにきずかれたいしがきがじしんにもくずれずこんなおけんろおにのこってえる
加齢とともに血管は硬くなり、さまざまな病気の原因となりうる。	かれえとともにけっかんわかたくなりさまざまなびょおきのげんいんとなりうる	かよわいとともにけっかんわかたくなりさまざまなびょおきのげんいんとなりうる
加齢とともに軟骨がすり減り、階段の上り下りに痛みを感じるようになった。	かれえとともになんこつがすりえりかいだんののぼりくだりにいたみおかんじるよおになった	かよわいとともになんこつがすりえりかいだんののぼりくだりにいたみおかんじるよおになった
夏はいつもTシャツを着ます。	なつわいつもてぃいしゃつおきます	なつわいつもてぃしゃつおきます
夏はよくプールで泳ぎます。	なつわよくぷうるでおよぎます	なつわよくぷるでおよぎます
夏は水とジュースをよく飲んで、冬はお茶で温まります。	なつわみずとじゅうすおよくのんでふゆわおちゃであたたまります	なつわみずとじゅすおよくのんでふゆわおちゃであたたまります
夏は冷えたジュースが美味しい。汗をかいたタオルは庭で乾かして、すぐ乾きます。	なつわひえたじゅうすがおいしいあせおかいたたおるわにわでかわかしてすぐかわきます	なつわひえたじゅすがおいしいあせおかいたたおるわにわでかわかしてすぐかわきます
家の隣はコンビニ、家の横は小さな公園、コンビニと公園の間に小さな店があります。	いえのとなりわこんびにいえのよこわちいさなこおえんこんびにとこおえんのあいだにちいさなみせがあります	いえのとなりわこんびにいえのよこわちいさなこおえんこんびにとこおえんのまにちいさなみせがあります
家族の心配をよそに、彼は一人で海外に旅立った。	かぞくのしんぱいおよそにかれわひとりでかいがいにたびだった	かぞくのしんぱいおよそにかれわいちにんでかいがいにたびだった
家族は四人です。お父さん、お母さん、お兄さん、僕です。	かぞくわよにんですおとおさんおかあさんおにいさんぼくです	かぞくわよんにんですおとおさんおかあさんおにいさんぼくです
家族みんなでテーブルを囲んで、楽しく食事をした。	かぞくみんなでてえぶるおかこんでたのしくしょくじおした	かぞくみんなでてぶるおかこんでたのしくしょくじおした
歌います→歌う／歌わない	うたいますうたうたわない	うたいます→うたう／うたわない
火の中に取り残された子どもを、彼は勇敢にも一人で救い出した。	ひのなかにとりのこされたこどもおかれわゆうかんにもひとりですくいだした	ひのなかにとりのこされたこどもおかれわゆうかんにもいちにんですくいだした
荷物が思ったより重くて、一人で運ぶのは無理でした。	にもつがおもったよりおもくてひとりでわこぶのわむりでした	にもつがおもったよりおもくてえちにんでわこぶのわむりでした
過ぎたことをいつまでも悔やんでも詮ないから、前を向くしかない。	すぎたことおいつまでもくやんでもせんないからまえおむくしかない	かぎたことおいつまでもくやんでもせんないからまえおむくしかない
過ぎたことをいつまでも恨んでいても、何も始まらない。	すぎたことおいつまでもおらんでえてもなにもわじまらない	かぎたことおいつまでもおらんでえてもなにもわじまらない
過去のデータをもとに、今期の需要を予測する。	かこのでえたおもとにこんきのじゅよおよそくする	かこのでたおもとにこんきのじゅよおよそくする
過去十年のデータをもとに、来期の需要を算出した。	かこじゅうねんのでえたおもとにらいきのじゅよおさんしゅつした	かこじゅうねんのでたおもとにらいきのじゅよおさんしゅつした
過密なスケジュールが続き、心身ともに疲弊しきってしまった。	かみつなすけじゅうるがつずきしんしんともにひえしきってしまった	かみつなすけじゅるがつずきしんしんともにひえしきってしまった
我思う、ゆえに我あり——この一節は近代哲学の出発点とされている。	われおもおゆえにわれありこのいっせつわきんだいてつがくのしゅっぱつてんとされてえる	わがおもおゆえにわがありこのいっせつわきんだいてつがくのしゅっぱつてんとされてえる
介護を一人で抱え込み、彼女は精神的に追い詰められていった。	かいごおひとりでかかえこみかのじょわせえしんてきにおいつめられてえった	かいごおいちにんでかかえこみかのじょわせえしんてきにおいつめられてえった
会議で決まった内容は、チーム全員で共有しておきましょう。	かいぎできまったないよおわちいむぜんいんできょおゆうしておきましょお	かいぎできまったないよおわちむぜんいんできょおゆうしておきましょお
会議で同じ話が延々と続き、なかなか結論が出なかった。	かいぎでおなじばなしがえんえんとつずきなかなかけつろんがでなかった	かいぎでおなじわなしがえんえんとつずきなかなかけつろんがでなかった
会議の資料は、あとでメールで送ります。	かいぎのしりょおわあとでめえるでおくります	かいぎのしりょおわあとでめるでおくります
会議の時間についてですが、午前中は別の予定が入っているという方が多いので、午後2時からに変更したいと思います。ご都合いかがでしょうか。	かいぎのじかんについてですがごぜんちゅうわべつのよてえがわいってえるというほおがおいのでごごにじからにえんこおしたいとおもいますごつごおいかがでしょおか	かいぎのじかんについてですがごぜんちゅうわべつのよてえがわいってえるというほおがおいのでごごじからにえんこおしたいとおもいますごつごおいかがでしょおか
会議の場所が変わりました。3階の会議室ではなく、2階のホールで行います。まちがえないでください。	かいぎのばしょがかわりましたさんがいのかいぎしつでわなくにかいのほおるでおこないますまちがえないでください	かいぎのばしょがかわりましたかいのかいぎしつでわなくかいのほるでおこないますまちがえないでください
会議の内容を一枚のレポートに纏めて、明日までに提出してください。	かいぎのないよおいちまいのれぽおとにまとめてあしたまでにてえしゅつしてください	かいぎのないよおいちまいのれぽとにまとめてあしたまでにてえしゅつしてください
会議は2時からです。でも、少しはやく始めるので、1時50分までに来てください。	かいぎわにじからですでもすこしわやくわじめるのでえちじごじゅっぷんまでにきてください	かいぎわじからですでもすこしわやくわじめるのでじふんまでにきてください
会議は3時からでしたが、4時からに変わりました。	かいぎわさんじからでしたがよじからにかわりました	かいぎわじからでしたがじからにかわりました
会議は三時から始まります。ちなみに、資料は昨日メールでお送りしました。	かいぎわさんじからわじまりますちなみにしりょおわきのおめえるでおくりしました	かいぎわさんじからわじまりますちなみにしりょおわきのおめるでおくりしました
会議室が変わったので、三階へ移動してください。	かいぎしつがかわったのでさんがいえどおしてください	かいぎしつがかわったのでさんかいえどおしてください
会議室が変更になりましたので、三階の大会議室へご移動ください。	かいぎしつがえんこおになりましたのでさんがいのだいかいぎしつえごいどおください	かいぎしつがえんこおになりましたのでさんかいのだいかいぎしつえごいどおください
会社では、書類のコピーとプリントを毎日大量にします。	かいしゃでわしょるいのこぴいとぷりんとおまいにちたいりょおにします	かいしゃでわしょるいのこぴとぷりんとおまいにちたいりょおにします
会社に行かず、家で仕事をする「テレワーク」を取り入れる企業が増えています。	かいしゃにいかずいえでしごとおするてれわあくおとりいれるきぎょおがふえてえます	かいしゃにいかずいえでしごとおするてれわくおとりいれるきぎょおがふえてえます
会社の帰りにスーパーに寄って、夕飯の材料を買いました。	かいしゃのかえりにすうぱあによってゆうわんのざいりょおかいました	かいしゃのかえりにすぱによってゆうわんのざいりょおかいました
会社まで電車で1時間掛かります。お昼休みには公園で休んで、鳥が飛んでいるのを見ました。	かいしゃまででんしゃでえちじかんかかりますおひるやすみにわこおえんでやすんでとりがとんでえるのおみました	かいしゃまででんしゃでじかんかかりますおひるやすみにわこおえんでやすんでとりがとんでえるのおみました
改革案をめぐり、経営陣と労組が一歩も譲らず対峙している。	かいかくあんおめぐりけえじんとろおそがいっぽもゆずらずたいじしてえる	かいかくあんおめぐりけえじんとろおそがいちほもゆずらずたいじしてえる
改正された個人情報保護法は、来月一日をもって施行される運びとなった。	かいせえされたこじんじょおほおほごほおわらいげつついたちおもってしこおされるわこびとなった	かいせえされたこじんじょおほおほごほおわらいげついちにちおもってしこおされるわこびとなった
海外赴任では、郷に入っては郷に従えの精神で、現地の商習慣を素直に受け入れることが肝心だ。	かいがいふにんでわごおにわいってわごおにしたがえのせえしんでげんちのしょおしゅうかんおすなおにうけえれることがかんじんだ	かいがいふにんでわさとにわいってわさとにしたがえのせえしんでげんちのしょおしゅうかんおすなおにうけえれることがかんじんだ
開演の三十分前から、観客の入場が始まる予定です。	かいえんのさんじゅっぷんまえからかんきゃくのにゅうじょおがわじまるよてえです	かいえんのさんじゅうふんまえからかんきゃくのにゅうじょおがわじまるよてえです
開会の合図とともに、選手たちは一斉にスタートを切った。	かいかいのあいずとともにせんしゅたちわいっせえにすたあとおきった	かいかいのあいずとともにせんしゅたちわいっせえにすたとおきった
外は日差しが強いので、出かける前に日焼け止めを塗っておこう。	そとわひざしがつよいのででかけるまえにひやけどめおぬっておこお	そとわひざしがつよいのででかけるまえにひやけとめおぬっておこお
外国人の場合、保証人を求められることが多い。	がいこくじんのばあいほしょおにんおもとめられることがおい	がいこくじんのばあいほしょおじんおもとめられることがおい
概ね異存はございませんが、一点だけ確認させてください。	おむねえぞんわございませんがいってんだけかくにんさせてください	おむねえぞんわございませんがいちてんだけかくにんさせてください
各地に分散していた工場を一か所に集約し、生産効率を高めた。	かくちにぶんさんしてえたこおじょおいっかしょにしゅうやくしせえさんこおりつおたかめた	かくちにぶんさんしてえたこおじょおいちかしょにしゅうやくしせえさんこおりつおたかめた
核兵器の廃絶を訴える声は根強いが、抑止力を手放そうとしない国が後を絶たない。	かくえきのわいぜつおったえるこえわねずよいがよくしりょくおてばなそおとしないくにがあとおたたない	かくえきのわいぜつおったえるこえわねずよいがよくしりょくおてばなそおとしないくにがごおたたない
獲れたばかりの魚をその場で加工することで、鮮度と風味を保っている。	とれたばかりのさかなおそのばでかこおすることでせんどとふうみおたもってえる	えれたばかりのさかなおそのばでかこおすることでせんどとふうみおたもってえる
覚えたい言葉が多くて、忘れないようにノートに書きます。	おぼえたいことばがおくてわすれないよおにのおとにかきます	おぼえたいことばがおくてわすれないよおにのとにかきます
角が立つのを承知で、あえて反対意見を述べさせていただきます。	かどがたつのおしょおちであえてわんたいけんおのべさせてえただきます	かくがたつのおしょおちであえてわんたいけんおのべさせてえただきます
学会の初日の夜には、参加者同士の懇親を目的とした立食パーティーがある。	がっかいのしょにちのよるにわさんかしゃどおしのこんしんおもくてきとしたりっしょくぱあてぃいがある	がっかいのしょにちのよるにわさんかしゃどおしのこんしんおもくてきとしたりっしょくぱてぃがある
学界の主流に真っ向から異を唱える彼の異説は、当初ことごとく黙殺された。	がっかいのしゅりゅうにまっこおからいおとなえるかれのいせつわとおしょことごとくもくさつされた	がっかいのしゅりゅうにまっこおからことおとなえるかれのいせつわとおしょことごとくもくさつされた
学校で先生に「こんにちは」、新しい友達には「初めまして、よろしくお願いします」。	がっこおでせんせえにこんにちわあたらしいともだちにわわじめましてよろしくおねがいします	がっこおでせんせえにこんにちわあたらしいともだちにわそめましてよろしくおねがいします
楽しい時間はあっという間に過ぎ、気づけばもう別れの時刻だった。	たのしいじかんわあっとゆうまにすぎきずけばもおわかれのじこくだった	たのしいじかんわあっというまにすぎきずけばもおわかれのじこくだった
滑車を組み合わせることで、人力でも数百キロの荷を難なく吊り上げられる。	かっしゃおくみあわせることでじんりきでもすうひゃっきろのにおなんなくつりあげられる	かっしゃおくみあわせることでじんりきでもすうひゃくきろのにおなんなくつりあげられる
乾燥する季節は、皮膚が荒れやすいので保湿を欠かせない。	かんそおするきせつわひふがあれやすいのでほしつおかかせない	かんそおするきせつわひふがあれやすいのでほしめおかかせない
寒いので、セーターを着ます。	さむいのでせえたあおきます	さむいのでせたおきます
寒いのでコートを着ます。	さむいのでこおとおきます	さむいのでことおきます
寒かったので、母は私の首にマフラーを巻いてくれました。	さむかったのでわわわわたしのくびにまふらあおまいてくれました	さむかったのでわわわわたしのくびにまふらおまいてくれました
寒くありません ＝ 寒くないです	さむくありませんさむくないです	さむくありません＝さむくないです
完成までにかかる費用は、おおよそ三百万円と見積もっている。	かんせえまでにかかるひよおわおよそさんびゃくまんえんとみつもってえる	かんせえまでにかかるひよおわおよそさんひゃくまんえんとみつもってえる
感情に流されず、データに基づいて合理的な判断を下すべきだ。	かんじょおにながされずでえたにもとずいてごおりてきなわんだんおくだすべきだ	かんじょおにながされずでたにもとずいてごおりてきなわんだんおくだすべきだ
歓送迎会でスピーチさせられた。	かんそおげえかいですぴいちさせられた	かんそおむかえかいですぴちさせられた
汗まみれになりながら、祭りの神輿を担いだ。	あせまみれになりながらまつりのみこしおかついだ	あせまみれになりながらまつりのしんよおかついだ
環境への配慮から、当社では来年度より、社内資料のペーパーレス化を全面的に推進する方針です。	かんきょおえのわいりょからとおしゃでわらいねんどよりしゃないしりょおのぺえぱあれすかおぜんめんてきにすいしんするほおしんです	かんきょおえのわいりょからとおしゃでわらいねんどよりしゃないしりょおのぺぱれすかおぜんめんてきにすいしんするほおしんです
環境破壊は、多くの野生動物の生存を脅かしている。	かんきょおわかいわおくのやせえどおぶつのせえぞんおどかしてえる	かんきょおわかいわおくのやせえどおぶつのせえぞんおびやかしてえる
環境問題は一国だけで解決できるものではなく、国際的な協力が欠かせない。	かんきょおもんだいわいっこくだけでかいけつできるものでわなくこくさいてきなきょおりょくがかかせない	かんきょおもんだいわいちこくだけでかいけつできるものでわなくこくさいてきなきょおりょくがかかせない
甘い言葉で若い政治家を籠絡し、裏で意のままに操っていたらしい。	あまいことばでわかいせえじかおろおらくしうらでえのままにあやつってえたらしい	あまいことばでわかいせえじかおかご絡しうらでえのままにあやつってえたらしい
監督の何気ない一言は、作品全体のテーマを解く上で極めて示唆的だった。	かんとくのなにげないひとことわさくひんぜんたいのてえまおとくうえできわめてしさてきだった	かんとくのなにげないひとことわさくひんぜんたいのてまおとくうえできわめてしさてきだった
監督の巧みな采配で、チームは逆転勝利を収めた。	かんとくのたくみなさいわいでちいむわぎゃくてんしょおりおさめた	かんとくのたくみなさいわいでちむわぎゃくてんしょおりおさめた
関係各所の意見を聞きながら、スケジュールを細かく調整する必要がある。	かんけえかくしょのいけんおききながらすけじゅうるおこまかくちょおせえするひつよおがある	かんけえかくしょのいけんおききながらすけじゅるおこまかくちょおせえするひつよおがある
韓国、アメリカ、イギリス、フランス、ドイツ、全部行ってみたいです。	かんこくあめりかいぎりすふらんすどいつぜんぶいってみたいです	かんこくあめりかいぎりすふらんすどいつぜんぶおこなってみたいです
丸い時計、四角いテーブル、いろんな形が好きみたいです。彼の犬はとても可愛いです。	まるいとけえしかくいてえぶるいろんなかたちがすきみたいですかれのいぬわとてもかわいです	まるいとけえしかくいてぶるいろんなかたちがすきみたいですかれのいぬわとてもかわいです
眼鏡をかけたままシャワーを浴びてしまいました。	めがねおかけたまましゃわあおあびてしまいました	めがねおかけたまましゃわおあびてしまいました
企画の立案から実行に至るまで、彼女が一人で担当した。	きかくのりつあんからじっこおにいたるまでかのじょがひとりでたんとおした	きかくのりつあんからじっこおにいたるまでかのじょがいちにんでたんとおした
企業ともなると、採用した後の日本語教育や、地域社会とのつながりづくりまで担う必要が出てくる。	きぎょおともなるとさいよおしたあとのにほんごきょおいくやちいきしゃかいとのつながりずくりまでになうひつよおがでてくる	きぎょおともなるとさいよおしたのちのにほんごきょおいくやちいきしゃかいとのつながりずくりまでになうひつよおがでてくる
期限までに返信がない場合は、同意したものと見做します。	きげんまでにえんしんがないばあいわどおいしたものとみなします	きげんまでにえんしんがないばあいわどおいしたものとみ做します
機械が壊れて、レシートが出ない日もあります。	きかいがこわれてれしいとがでないひもあります	きかいがこわれてれしとがでないひもあります
帰りはタクシーとバスを使って、最後に飛行機で家へ。	かえりわたくしいとばすおつかってさいごにひこおきでえ	かえりわたくしとばすおつかってさいごにひこおきでえ
気温が上がると、水たまりの水はあっという間に蒸発してしまう。	きおんがあがるとみずたまりのみずわあっとゆうまにじょおわつしてしまう	きおんがあがるとみずたまりのみずわあっというまにじょおわつしてしまう
気候変動への対応は、もはや一国の問題ではなく、地球規模での協調が求められている。先進国と発展途上国の間の利害調整、技術移転、資金援助など、解決すべき課題は多岐にわたる。次世代に持続可能な地球を引き継ぐためには、今こそ国際社会の結束が試されている。	きこおえんどおえのたいおわもわやいっこくのもんだいでわなくちきゅうきぼでのきょおちょおがもとめられてえるせんしんこくとわってんとじょおこくのあいだのりがいちょおせえぎじゅついてんしきんえんじょなどかいけつすべきかだいわたきにわたるじせだいにじぞくかのおなちきゅうおひきつぐためにわいまこそこくさいしゃかいのけっそくがためされてえる	きこおえんどおえのたいおわもわやいちこくのもんだいでわなくちきゅうきぼでのきょおちょおがもとめられてえるせんしんこくとわってんとじょおこくのまのりがいちょおせえぎじゅついてんしきんえんじょなどかいけつすべきかだいわたきにわたるじせだいにじぞくかのおなちきゅうおひきつぐためにわいまこそこくさいしゃかいのけっそくがためされてえる
気持ちが消えなくて、まだよく知らないことが多いです。一週間が終わって、休みたいです。	きもちがきえなくてまだよくしらないことがおいですいっしゅうかんがおわってやすみたいです	きもちがきえなくてまだよくしらないことがおいですいちしゅうかんがおわってやすみたいです
汽笛を一つ鳴らして、大型客船はゆっくりと埠頭を離岸していった。	きてきおひとつならしておがたきゃくせんわゆっくりとふとおりがんしてえった	きてきおひとつならしておがたきゃくせんわゆっくりとふとおわなれがんしてえった
季節に応じて、メニューを入れ替えている。	きせつにおじてめにゅうおいれかえてえる	きせつにおじてめにゅおいれかえてえる
記者たちは一斉にカメラを大臣のほうへ向けた。	きものたちわいっせえにかめらおだいじんのほおえむけた	きしゃたちわいっせえにかめらおだいじんのほおえむけた
記者たちは一斉にカメラを大統領に向けました。	きものたちわいっせえにかめらおだいとおりょおにむけました	きしゃたちわいっせえにかめらおだいとおりょおにむけました
記者たちは大臣に、矢継ぎ早に鋭い質問を浴びせた。	きものたちわだいじんにやつぎばやにするどいしつもんおあびせた	きしゃたちわだいじんにやつぎばやにするどいしつもんおあびせた
記録的な豪雨により、各地で河川の氾濫が相次いだ。	きろくてきなごおによりかくちでかせんのわんらんがあいついだ	きろくてきなごおうによりかくちでかせんのわんらんがあいついだ
起きます→起きる／起きない	おきますおきるおきない	おきます→おきる／おきない
起業してからの数年間は、まさに疾風怒濤の日々だった。	きぎょおしてからのすうねんかんわまさにしっぷうどとおのひびだった	きぎょおしてからのすうねんかんわまさにしっぷういか濤のひびだった
起業当初は順風満帆に見えたが、実は数々の困難を乗り越えてきたそうだ。	きぎょおとおしょわじゅんぷうまんぱんにみえたがじつわかずかずのこんなんおのりこえてきたそおだ	きぎょおとおしょわじゅんぷうまんほにみえたがじつわかずかずのこんなんおのりこえてきたそおだ
技術者たちの粘り強い研究が、難局を打開する突破口を開いた。	ぎじゅつものたちのねばりずよいけんきゅうがなんきょくおだかいするとっぱこおひらいた	ぎじゅつしゃたちのねばりずよいけんきゅうがなんきょくおだかいするとっぱこおひらいた
疑問があれば、問いかけるだけで、AIが瞬時に答えを示してくれる。	ぎもんがあればといかけるだけでえあいがしゅんじにこたえおしめしてくれる	ぎもんがあればといかけるだけでAIがしゅんじにこたえおしめしてくれる
議論が噛み合わないのは、そもそも用語の定義が両者の間で食い違っているからだ。	ぎろんがかみあわないのわそもそもよおごのてえぎがりょおしゃのあいだでくいちがってえるからだ	ぎろんがかみあわないのわそもそもよおごのてえぎがりょおしゃのまでくいちがってえるからだ
